ids,datetime,likes,shares,comments,likes_reactions,reactions,total,chars_count,words_count,message,date,unique_comments
79770243223_10151908388483224,2013-12-09 09:26:02,397,71,18,397,0,486,377.0,52.0,"Around the globe, were standing with those who take responsibility -- helping farmers grow more food, supporting doctors who care for the sick, and combating the corruption that can rot a society and rob people of opportunity.  -President Obama

On this International Anti-Corruption Day, learn more about efforts to fight corruption around the world: http://goo.gl/Rw0j9U",2013-12-09,18.0
79770243223_139322152758396,2010-07-19 09:25:44,5,0,5,5,0,10,334.0,46.0,"Speakers will include historians David Chandler and Kenton Clymer; linguist Franklin Huffman; former U.S. Ambassadors to Cambodia Kent Wiedemann, Charles Ray and Joseph Mussomeli; former Cambodian Ambassador to the United States H.E. Ek Sereywath; and H.R.H. Samdech Norodom Sirivudh, member of the Constitutional Council of Cambodia.",2010-07-19,2.0
79770243223_10151265230798224,2012-12-25 02:48:06,2870,98,104,2870,0,3072,457.0,52.0,"THE PRESIDENT: Hi everybody. This weekend, as you gather with family and friends, Michelle and I want to wish you a Merry Christmas and a Happy Holidays.

THE FIRST LADY:  We both love this time of year.  And theres nothing quite like celebrating the holidays at the White House...

Video: http://youtu.be/eHD7Yxs0tNA

Read more: http://www.whitehouse.gov/the-press-office/2012/12/22/weekly-address-president-and-first-lady-extend-holiday-greeting-and-than",2012-12-25,100.0
79770243223_10152836091733224,2015-03-11 07:00:35,1976,58,8,1976,0,2042,694.0,54.0,"?     Todd            

Are you in good health? On March 6, Ambassador Todd attended the U.S. Embassy Health Fair 2015 event to promote the importance of a healthy lifestyle in Cambodia.  Over 350 healthcare professionals donated their services, giving visitors the opportunity to donate blood, receive massages and collect information on maintaining their health.

#AmbTodd  #Cambodia",2015-03-11,8.0
79770243223_10152438156853224,2014-09-04 12:00:01,279,21,6,279,0,306,458.0,77.0,"Love9 will premier its long-anticipated TV series this week!  

Tune in to MyTV on Sept 6 at 7pm to catch the first episode, and follow the Love9 on Facebook to learn about upcoming shows.  The USAID - US Agency for International Development and the UNFPA are proud to fund this multimedia event for youth, implemented by BBC Media Action , the same organization that produced the popular Loy9 series.

Are you excited for the premier?

http://goo.gl/KlB69t ",2014-09-04,6.0
79770243223_169082063121110,2010-11-10 03:10:12,19,0,4,19,0,23,194.0,13.0,"  Clinton   
Click the link below to download the audio file (WMA - 1.72 MB).
http://bit.ly/aAJ3bT",2010-11-10,3.0
79770243223_80021754394,2009-05-05 04:02:10,0,0,0,0,0,0,64.0,10.0,New Health Program to Tackle Maternal Mortality and Other Issues,2009-05-05,
79770243223_10153942177523224,2016-08-17 04:54:05,1568,276,32,1586,18,1894,1125.0,77.0,"       Washington  Colorado  
#Cambodia could see more reliable and cheaper electricity after several Cambodian utility workers and regulators visited the U.S. earlier this month, met with their American counterparts and toured National Renewable Energy Laboratory facilities in the states of Washington and Colorado. 

     

The delegation focused on consumer satisfaction, metering, service quality, and renewable energy, all areas that the Electricity Authority of Cambodia has worked to reform in partnership with the Power Sector Program run by U.S. Department of State.",2016-08-17,31.0
79770243223_10151626606753224,2013-07-23 06:38:39,175,47,13,175,0,235,426.0,55.0,"Message to U.S. Citizens on Upcoming Cambodian Elections:

We strongly recommend that U.S. citizens traveling to or residing in Cambodia enroll in the Department of States Smart Traveler Enrollment Program (STEP).

STEP enrollment gives you the latest security updates, and makes it easier for the U.S. embassy or nearest U.S. consulate to contact you in an emergency.
Read more:
http://cambodia.usembassy.gov/072313_acs.html",2013-07-23,9.0
79770243223_10151840800378224,2013-11-07 06:44:31,11,0,1,11,0,12,101.0,,"U.S. Embassy Phnom Penh, Cambodia added a new photo to the album: U.S. Navy SEABEES in Sihanoukville.",2013-11-07,1.0
